id,screen_name,created_at,text
1235223911538872323,realDonaldTrump,2020-03-04 15:21:44,"Wow! If Elizabeth Warren wasn’t in the race, Bernie Sanders would have EASILY won Massachusetts, Minnesota and Texa… https://t.co/mLoHVbio3Q"
1235217440285560835,realDonaldTrump,2020-03-04 14:56:01,The great people of Montana can have no better VOICE than Senator @SteveDaines. He is doing an incredible job! Whoe… https://t.co/C7lf60luH2
1235208558666543104,realDonaldTrump,2020-03-04 14:20:44,"I will be going to the Great State of Tennessee on Friday. The USA stands with the people of Tennessee 100%, whatev… https://t.co/AUQbmBqtRZ"
1235185319257006080,realDonaldTrump,2020-03-04 12:48:23,"MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!!!!"
1235181043881299969,realDonaldTrump,2020-03-04 12:31:24,This is what happens to someone who loyally gets appointed Attorney General of the United States &amp; then doesn’t hav… https://t.co/9oZYYHC6IV
1235177691680301058,realDonaldTrump,2020-03-04 12:18:04,RT @AP_Politics: BREAKING: Republican Tommy Tuberville advances to primary runoff for U.S. Senate in Alabama primary election. #APracecall…
1235176283740524546,realDonaldTrump,2020-03-04 12:12:29,"So selfish for Elizabeth Warren to stay in the race. She has Zero chance of even coming close to winning, but hurts… https://t.co/GkbiZByNIw"
1235171235505598465,realDonaldTrump,2020-03-04 11:52:25,"The Democrat establishment came together and crushed Bernie Sanders, AGAIN! Even the fact that Elizabeth Warren sta… https://t.co/Az15KWNo9p"
1235082320161325057,realDonaldTrump,2020-03-04 05:59:06,THANK YOU CALIFORNIA! #KAG2020 https://t.co/7BrkAKYWU0
1235082200690745344,realDonaldTrump,2020-03-04 05:58:38,THANK YOU UTAH! #KAG2020 https://t.co/LrCvXgmp3X
1235077953635020801,realDonaldTrump,2020-03-04 05:41:45,RT @brithume: Good insight here. But there is one unifying factor that will be there in the fall: Donald J. Trump.
1235077763133931520,realDonaldTrump,2020-03-04 05:41:00,"RT @DLoesch: This will make Sanders so happy to hear his friend won’t leave

🍿"
1235076837941760001,realDonaldTrump,2020-03-04 05:37:19,"RT @townhallcom: Joe Biden: ""This is my little sister, Valerie! No wait...this is my wife!""

Oh. my. #SuperTuesday https://t.co/2hIGyID6TW"
1235076248797249538,realDonaldTrump,2020-03-04 05:34:58,"RT @GOPLeader: The United States has never been better prepared to deal with an infectious disease like the coronavirus. Under Republicans,…"
1235075965233004545,realDonaldTrump,2020-03-04 05:33:51,"RT @Judgenap: Hillary Clinton Faces a Catch-22 in Deposition
https://t.co/C7M81o6O9e"
1235075940654305281,realDonaldTrump,2020-03-04 05:33:45,"RT @Judgenap: Democrats Discussing Ways to Stop Bernie Sanders
https://t.co/3s5CpbzBc9"
